Cmdline: /system/bin/simpleperf record --app com.paifa.ubikitouch --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --duration 9 -f 400 -g
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 4560
Event count: 22316617954

Children  Self   Command               Pid    Tid    Shared Object                                                                                               Symbol
32.98%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.Choreographer.doCallbacks
32.83%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.Choreographer$CallbackRecord.run
31.87%    0.00%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    android::uirenderer::skiapipeline::SkiaOpenGLPipeline::draw(android::uirenderer::renderthread::Frame const&, SkRect const&, SkRect const&, android::uirenderer::LightGeometry const&, android::uirenderer::LayerUpdateQueue*, android::uirenderer::Rect const&, bool, android::uirenderer::LightInfo const&, std::__1::vector<android::sp<android::uirenderer::RenderNode>, std::__1::allocator<android::sp<android::uirenderer::RenderNode> > > const&, android::uirenderer::FrameInfoVisualizer*, android::uirenderer::renderthread::HardwareBufferRenderParams const&)
25.48%    0.24%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       bool art::interpreter::DoCall<true>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, bool, art::JValue*)
23.07%    0.02%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    GrDrawingManager::flush(SkSpan<GrSurfaceProxy*>, SkSurface::BackendSurfaceAccess, GrFlushInfo const&, skgpu::MutableTextureState const*)
23.07%    0.00%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    GrDrawingManager::flushSurfaces(SkSpan<GrSurfaceProxy*>, SkSurface::BackendSurfaceAccess, GrFlushInfo const&, skgpu::MutableTextureState const*)
22.81%    0.00%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    SkSurface::flushAndSubmit(bool)
22.79%    0.00%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    GrDirectContextPriv::flushSurfaces(SkSpan<GrSurfaceProxy*>, SkSurface::BackendSurfaceAccess, GrFlushInfo const&, skgpu::MutableTextureState const*)
22.79%    0.00%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    SkSurface_Gpu::onFlush(SkSurface::BackendSurfaceAccess, GrFlushInfo const&, skgpu::MutableTextureState const*)
15.46%    0.05%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       NterpCommonInvokeInstance
14.76%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.ViewRootImpl$TraversalRunnable.run
14.73%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.ViewRootImpl.doTraversal
14.59%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.ViewRootImpl.performTraversals
14.10%    0.07%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.runtime.snapshots.SnapshotStateObserver.observeReads
14.10%    0.06%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.runtime.snapshots.SnapshotStateObserver$ObservedScopeMap.observe
14.10%    0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.node.OwnerSnapshotObserver.observeReads$ui_release
14.01%    0.09%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.runtime.snapshots.Snapshot$Companion.observe
13.73%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.ViewRootImpl.performDraw
13.55%    0.00%  com.paifa.ubikitouch  31119  31119  /system/framework/framework.jar                                                                             android.view.ViewRootImpl.draw
